Date,Open,High,Low,Close,Volume,Market Cap
28-Oct-19,184.40,187.88,180.25,182.66,10406734124.00,19788729316.00
27-Oct-19,179.93,188.16,177.68,184.24,10815941953.00,19957408085.00
26-Oct-19,181.67,195.94,176.13,179.84,13831784986.00,19477741705.00
25-Oct-19,162.19,183.00,161.97,181.52,10358594018.00,19658140299.00
24-Oct-19,162.51,164.15,160.89,162.17,7300917537.00,17560021218.00
23-Oct-19,172.26,172.42,157.46,162.40,9624925919.00,17583244177.00
22-Oct-19,174.91,175.65,172.27,172.30,6990951966.00,18652588580.00
21-Oct-19,175.52,177.74,173.29,174.92,6815820627.00,18933882640.00
20-Oct-19,172.97,176.72,171.21,175.53,6801091120.00,18997957789.00
19-Oct-19,173.65,175.61,172.22,172.91,6551453871.00,18711940303.00
18-Oct-19,177.99,178.18,171.01,173.62,7566257807.00,18786275035.00
17-Oct-19,175.91,178.90,174.57,178.03,6737237423.00,19260755682.00
16-Oct-19,181.34,181.67,174.06,176.01,7691244590.00,19040429002.00
15-Oct-19,186.98,187.76,179.46,181.41,7731456579.00,19621350993.00
14-Oct-19,182.03,187.30,181.66,186.96,7276520699.00,20219637357.00
13-Oct-19,180.86,185.08,180.32,182.08,6733182273.00,19688808994.00
12-Oct-19,182.53,186.30,179.98,180.83,7494328840.00,19551368532.00
11-Oct-19,191.80,195.32,181.66,182.57,9128522970.00,19737401838.00
10-Oct-19,193.19,193.90,188.31,191.66,8375913276.00,20717535747.00
9-Oct-19,182.04,194.30,180.67,193.29,9088122101.00,20891536595.00
8-Oct-19,181.11,184.36,179.13,182.02,7466282780.00,19670825764.00
7-Oct-19,172.94,182.36,171.53,181.19,7844316834.00,19578142143.00
6-Oct-19,176.36,177.36,171.30,173.06,5852890674.00,18697637484.00
5-Oct-19,176.95,177.71,173.07,176.35,5837211771.00,19050956367.00
4-Oct-19,175.24,178.55,173.56,176.99,6248928449.00,19116991692.00
3-Oct-19,180.70,180.80,172.60,175.20,6381403725.00,18921747814.00
2-Oct-19,177.22,180.83,175.33,180.71,6335595250.00,19514521236.00
1-Oct-19,180.21,185.05,175.81,177.34,7676276225.00,19148222892.00
30-Sep-19,170.46,179.87,167.04,179.87,7552915148.00,19419149343.00
29-Sep-19,174.61,175.21,167.00,170.50,6497088199.00,18405401315.00
28-Sep-19,174.68,175.78,170.77,174.57,6895423445.00,18842313324.00
27-Sep-19,166.65,175.61,163.21,174.71,7909313625.00,18854855889.00
26-Sep-19,170.76,171.69,157.13,166.73,7848286154.00,17991000062.00
25-Sep-19,168.13,174.72,164.91,170.89,9766632018.00,18438188568.00
24-Sep-19,201.84,203.50,162.73,168.11,11757739233.00,18135747381.00
23-Sep-19,211.71,211.84,201.89,201.92,7494673136.00,21780534855.00
22-Sep-19,215.49,216.09,207.64,211.55,7812854576.00,22815755536.00
21-Sep-19,217.90,220.96,215.00,215.52,7743309778.00,23241121351.00
20-Sep-19,221.07,221.60,215.16,218.05,8027974273.00,23511410671.00
19-Sep-19,211.25,222.87,204.69,221.28,10620070913.00,23856751722.00
18-Sep-19,208.05,216.71,208.05,211.39,9194634557.00,22787891774.00
17-Sep-19,197.11,213.73,196.72,208.61,10232590812.00,22484889436.00
16-Sep-19,189.69,198.20,189.69,197.11,8242029488.00,21243167877.00
15-Sep-19,188.07,190.40,186.45,189.79,6222874780.00,20451239362.00
14-Sep-19,181.32,188.45,180.37,188.11,6500686511.00,20267272633.00
13-Sep-19,180.98,181.50,178.58,181.11,5955041237.00,19511050765.00
12-Sep-19,178.80,182.00,177.85,181.02,5838605477.00,19498542852.00
11-Sep-19,179.84,181.76,176.50,178.73,7157139035.00,19249367783.00
10-Sep-19,181.21,184.06,178.12,179.79,6291476772.00,19361276593.00
